Row_Number,Gender,Location,Time,Race,Time_Spent_Homeless,Method_Found,Eligible,Preffered_Acommodation,Accepted_Acommodation
1,Female,Stechford,10AM,Other,Less than a month,Friend,1,1,1
2,Male,Other,12PM,Indian,7-12 months,Referral,0,0,0
3,Female,Perry Barr,10AM,White,Less than a month,Referral,1,0,0
4,Male,Other,2PM,White,7-12 months,Themselves,0,1,0
5,Male,Kings Norton,4PM,Pakistani,4-6 Months,Referral,1,1,1
6,Male,Stechford,2PM,European,Less than a month,Friend,0,0,0
7,Female,Digbeth,12PM,White,Less than a month,Online,1,1,1
8,Male,Yardley,10AM,White,Less than a month,Friend,1,0,1
9,Female,Balsall Heath,2PM,European,1-3 Months,Other,1,1,1
10,Male,Balsall Heath,12PM,Bangladeshi,Less than a month,Themselves,0,1,0
11,Male,Tyseley,4PM,European,Less than a month,Friend,0,0,0
12,Male,Sparkbrook,10AM,Black,1-3 Months,Other,1,1,1
13,Female,Bordesley Green,12PM,Pakistani,1-3 Months,Phone,1,0,0
14,Male,Erdington,10AM,Pakistani,Less than a month,Referral,0,0,0
15,Female,Kings Norton,2PM,European,7-12 months,Phone,1,1,1
16,Male,Sparkhill,2PM,Pakistani,Less than a month,Referral,1,0,0
17,Female,Sparkhill,10AM,Black,Less than a month,Referral,1,1,0
18,Female,Other,12PM,White,Less than a month,Other,1,0,1
19,Male,Digbeth,10AM,Bangladeshi,1-3 Months,Referral,1,0,1
20,Female,Erdington,12PM,Indian,1-3 Months,Friend,1,1,1
21,Female,Tyseley,4PM,White,Less than a month,Friend,0,1,0
22,Male,Acocks Green,12PM,White,Less than a month,Phone,1,0,1
23,Male,Balsall Heath,2PM,White,1-3 Months,Referral,1,1,1
24,Female,Stechford,2PM,Pakistani,4-6 Months,Phone,1,0,0
25,Male,Sparkhill,10AM,Black,1-3 Months,Friend,0,0,0
26,Male,Erdington,12PM,White,4-6 Months,Friend,0,1,1
27,Male,Small Heath,12PM,White,Less than a month,Online,1,0,1
28,Female,Kings Norton,4PM,White,Less than a month,Referral,0,1,0
29,Female,Balsall Heath,10AM,Pakistani,Less than a month,Referral,1,0,1
30,Male,Erdington,12PM,Bangladeshi,4-6 Months,Referral,1,1,1
31,Female,Erdington,10AM,Pakistani,1-3 Months,Other,1,1,1
32,Male,Erdington,2PM,Pakistani,Less than a month,Referral,1,1,0
33,Male,Small Heath,12PM,White,7-12 months,Referral,1,0,1
34,Female,Sparkhill,10AM,European,Less than a month,Phone,1,0,0
35,Female,Other,2PM,White,Less than a month,Friend,1,1,1
36,Male,Digbeth,12PM,Bangladeshi,7-12 months,Friend,1,1,1
37,Male,Tyseley,10AM,Pakistani,1-3 Months,Online,0,0,0
38,Female,Kings Norton,4PM,European,Less than a month,Referral,1,0,1
39,Male,Balsall Heath,10AM,Pakistani,Less than a month,Friend,1,0,1
40,Male,Sparkbrook,10AM,Pakistani,1-3 Months,Friend,1,0,0
41,Male,Balsall Heath,10AM,Other,Less than a month,Themselves,1,1,1
42,Female,Perry Barr,4PM,European,Less than a month,Phone,1,0,0
43,Female,Tyseley,2PM,Black,4-6 Months,Other,1,1,1
44,Female,Acocks Green,12PM,Pakistani,4-6 Months,Phone,0,0,0
45,Male,Bordesley Green,4PM,White,Less than a month,Themselves,1,0,1
46,Male,Acocks Green,10AM,Bangladeshi,Less than a month,Other,1,0,0
47,Male,Acocks Green,2PM,European,Less than a month,Phone,1,0,1
48,Female,Small Heath,10AM,Other,4-6 Months,Friend,1,0,0
49,Female,Erdington,10AM,Pakistani,Less than a month,Online,1,0,1
50,Male,Sparkhill,10AM,European,Less than a month,Phone,1,1,1
51,Male,Perry Barr,2PM,White,4-6 Months,Referral,0,1,0
